#
#  28 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 19.056 keV
#     1st HVL:      0.455 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 1.5991e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000191
6.0e3       0.013015768
7.0e3       6.188604951
8.0e3       271.479709868
9.0e3       2780.678942370
10.0e3       10407.232576057
11.0e3       24962.667761824
12.0e3       47615.925811498
13.0e3       77238.114926254
14.0e3       115962.861208200
15.0e3       157554.075105707
16.0e3       195981.959106383
17.0e3       227003.161605470
18.0e3       252606.410639771
19.0e3       270761.285803637
20.0e3       277811.369576300
21.0e3       274986.678295661
22.0e3       266676.247578167
23.0e3       245383.265195716
24.0e3       214122.969533788
25.0e3       178967.709934757
26.0e3       128334.941277927
27.0e3       77728.118064495
28.0e3       0.000000001
