#
#  29 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 19.505 keV
#     1st HVL:      0.474 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 1.7748e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000188
6.0e3       0.012931266
7.0e3       6.183873798
8.0e3       273.521118815
9.0e3       2811.665162703
10.0e3       10491.672735870
11.0e3       25146.401772892
12.0e3       47980.283006297
13.0e3       78302.109366564
14.0e3       117845.591187427
15.0e3       161210.417548897
16.0e3       202035.555034714
17.0e3       235789.791142508
18.0e3       264009.890519227
19.0e3       284105.581666102
20.0e3       296377.592880859
21.0e3       298666.928916428
22.0e3       294501.952324949
23.0e3       277444.768640527
24.0e3       251678.481822688
25.0e3       222721.932066728
26.0e3       178644.033112582
27.0e3       131011.613069312
28.0e3       80741.128691708
29.0e3       0.000000001
