#
#  27 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 18.609 keV
#     1st HVL:      0.435 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 1.4309e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000195
6.0e3       0.013109098
7.0e3       6.203495247
8.0e3       268.809962166
9.0e3       2732.648878163
10.0e3       10290.673653104
11.0e3       24750.064209175
12.0e3       47094.890428269
13.0e3       76060.929588038
14.0e3       113766.121140564
15.0e3       153189.064928635
16.0e3       188988.746507243
17.0e3       217681.239630069
18.0e3       240481.494249242
19.0e3       255118.202503951
20.0e3       257521.100851746
21.0e3       250242.146748118
22.0e3       235761.868875138
23.0e3       209504.553284686
24.0e3       171706.696188010
25.0e3       130330.308542264
26.0e3       77312.163001237
27.0e3       0.000000001
