#
#  44 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 25.474 keV
#     1st HVL:      0.731 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 5.0099e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000151
6.0e3       0.011320601
7.0e3       5.898941021
8.0e3       304.532542735
9.0e3       3343.040428741
10.0e3       11751.700716727
11.0e3       26429.240474185
12.0e3       49774.041503764
13.0e3       83559.197735948
14.0e3       133555.409466396
15.0e3       194069.616582613
16.0e3       258148.127640960
17.0e3       322810.716137669
18.0e3       385789.170755861
19.0e3       435329.920734304
20.0e3       480179.384508038
21.0e3       520742.757183822
22.0e3       552623.885903485
23.0e3       578790.900471731
24.0e3       597445.330792544
25.0e3       605951.608533411
26.0e3       609447.605196127
27.0e3       600478.499283868
28.0e3       593119.071439531
29.0e3       592630.401815483
30.0e3       582997.017758768
31.0e3       561363.688477947
32.0e3       539010.643475629
33.0e3       514264.085445098
34.0e3       478426.766672090
35.0e3       443138.581608555
36.0e3       405327.302083040
37.0e3       371983.687552389
38.0e3       325159.196077924
39.0e3       278791.876871148
40.0e3       238008.820153929
41.0e3       181309.566842298
42.0e3       127778.301346346
43.0e3       78295.915489414
44.0e3       0.000000001
