#
#  25 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 17.689 keV
#     1st HVL:      0.395 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 1.1107e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000202
6.0e3       0.013303235
7.0e3       6.201514764
8.0e3       263.013744762
9.0e3       2639.789805568
10.0e3       10028.244867700
11.0e3       24153.289542475
12.0e3       45480.783460645
13.0e3       73234.510944785
14.0e3       107656.229928823
15.0e3       141735.462094547
16.0e3       172126.991605938
17.0e3       196540.452292998
18.0e3       212269.739412895
19.0e3       214797.376449059
20.0e3       209858.883164815
21.0e3       193884.759067443
22.0e3       162068.319410301
23.0e3       124348.803937983
24.0e3       73603.315459558
25.0e3       0.000000001
