#
#  37 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 22.804 keV
#     1st HVL:      0.618 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 3.3688e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000166
6.0e3       0.011995353
7.0e3       6.060753791
8.0e3       292.822467411
9.0e3       3125.838121201
10.0e3       11274.165246836
11.0e3       25848.756477377
12.0e3       49163.410089027
13.0e3       82423.096501416
14.0e3       130123.917864680
15.0e3       183824.579532523
16.0e3       237612.625592309
17.0e3       289407.162392480
18.0e3       337078.255828623
19.0e3       378214.257509743
20.0e3       408773.351416628
21.0e3       432685.885852719
22.0e3       450400.524586404
23.0e3       462659.380627196
24.0e3       465377.330203524
25.0e3       457476.320217713
26.0e3       452649.340004366
27.0e3       438412.817122689
28.0e3       418205.011783439
29.0e3       394595.581004739
30.0e3       356098.633610588
31.0e3       316712.461144347
32.0e3       276254.045811860
33.0e3       229631.064277241
34.0e3       175155.998259049
35.0e3       132052.104349641
36.0e3       86735.940462098
37.0e3       0.000000001
